"","EVALUACIONES","1","2","3","4","5","6","7","8","9","TOTAL","OBS.",""
"#","N° de cuenta","10%","10%","18%","6%","10%","16%","10%","10%","10%","","",""
"1","20111001220","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",""
"2","20111011524","9","10","13","4","9","13","10","7","5","80","APB",""
"3","20121014514","10","10","13","4","9","13","10","7","5","81","APB",""
"4","20121014779","9","10","13","4","9","13","0","7","5","70","APB",""
"5","20121900096","6","10","13","4","9","13","10","7","5","77","APB",""
"6","20131014704","9","10","13","4","9","13","10","7","5","80","APB",""
"7","20151000626","0","0","13","0","0","0","0","0","","13","RPB",""
"8","20151020418","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",""
"9","20151022586","9","10","13","4","9","13","10","7","5","80","APB",""
"10","20151023908","10","10","13","4","9","13","10","7","0","76","APB",""
"11","20151030932","9","10","16","6","9","13","10","8","5","86","APB",""
"12","20161000978","9","10","16","6","9","13","10","0","5","78","APB",""
"13","20171003155","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",""
"14","20171006359","8","10","16","6","9","13","10","8","8","88","APB",""
"15","20181031403","9","10","0","6","9","13","10","0","","57","RPB",""
"16","20181033425","10","10","16","6","9","0","10","0","5","66","APB",""
"17","20191001106","9","10","16","6","9","13","10","8","5","86","APB",""
"18","20191002513","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",""
"19","20191002964","9","10","16","6","9","13","10","8","7.5","89","APB",""
"20","20191031196","10","10","0","6","0","13","10","8","10","67","APB",""
"21","20191032203","0","0","0","5","9","13","0","7","","34","RPB",""
"22","20191033171","9","10","15","5","9","13","10","7","5","83","APB",""
"23","20201000422","0","0","15","5","9","0","0","0","","29","RPB",""
"24","20201000442","9","10","15","6","9","13","10","7","5","84","APB",""
"25","20201000631","9","10","15","5","9","13","10","7","0","78","APB",""
"","","1","2","3","4","5","6","7","8","9","","OBS",""
"#","N° de cuenta","10%","10%","18%","6%","10%","16%","10%","10%","10%","","",""
"26","20201002438","9","10","15","5","9","13","10","7","0","78","APB",""
"27","20201002551","0","0","15","5","9","13","10","7","","59","RPB",""
"28","20201002973","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",""
"29","20201004795","9","10","15","5","9","13","10","7","5","83","APB",""
"30","20202001608","0","0","15","5","9","13","10","7","5.5","65","RPB",""
"31","20211001184","9","10","14","0","9","13","10","8","5","78","APB",""
"32","20211002261","10","0","14","0","9","0","10","0","","43","RPB",""
"33","20211021932","8","10","14","0","9","13","0","8","5","67","APB",""
"34","20211022266","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",""
"35","20211030099","9","10","14","0","9","13","10","8","5","78","APB",""
"36","20211032041","9","10","14","0","9","13","10","8","5","78","APB",""
"37","20221000528","0","10","14","0","9","13","10","8","5","69","APB",""
"38","20221004045","9","10","14","0","9","13","10","8","5","78","APB",""
"39","20221004228","10","10","14","2","9","13","10","8","5","81","APB",""
"40","20221004257","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
